Image_name,image_url,alt_text,model
obs_33435757_photo_52514997,https://inaturalist-open-data.s3.amazonaws.com/photos/52514997/medium.jpeg,"A long, dark marine worm coiled around a small limpet on a wet, barnacle-covered rock, feeding on it.",gemini-3.5-flash
obs_54130547_photo_86113964,https://inaturalist-open-data.s3.amazonaws.com/photos/86113964/medium.jpeg,A swarm of black ants feeding on a long brown earthworm on dirt ground.,gemini-3.5-flash
obs_55364509_photo_88154142,https://inaturalist-open-data.s3.amazonaws.com/photos/88154142/medium.jpeg,A dark leech lies on a stone tile floor in a pool of bright red blood.,gemini-3.5-flash
obs_64497720_photo_103704678,https://inaturalist-open-data.s3.amazonaws.com/photos/103704678/medium.jpg,"A male bufflehead duck swimming in rippled water, swallowing a long, segmented leech with its head tilted back.",gemini-3.5-flash
obs_67242178_photo_108590554,https://inaturalist-open-data.s3.amazonaws.com/photos/108590554/medium.jpeg,"A brown bird with a yellow beak stands in green grass, holding a dangling earthworm in its beak.",gemini-3.5-flash
obs_70939654_photo_21265481,https://inaturalist-open-data.s3.amazonaws.com/photos/21265481/medium.jpeg,"A brown, speckled bird with a white stripe above its eye stands in the green grass next to a white pole, holding a worm in its beak.",gemini-3.5-flash
obs_78431515_photo_128226886,https://static.inaturalist.org/photos/128226886/medium.jpeg,"Multiple large, black leeches cling to and feed on a mottled brown frog lying on the forest floor.",gemini-3.5-flash
obs_94545832_photo_156850036,https://inaturalist-open-data.s3.amazonaws.com/photos/156850036/medium.jpg,A dark seal emerging from the water holds a pink sausage in its mouth.,gemini-3.5-flash
obs_112677160_photo_190337472,https://inaturalist-open-data.s3.amazonaws.com/photos/190337472/medium.jpeg,A swarm of small black ants feeding on a reddish-brown earthworm on a pebbled surface.,gemini-3.5-flash
obs_130480768_photo_70327211,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/medium.jpeg,"A dark, hook-shaped leech attached to and feeding on the side of a pinkish-gold fish.",gemini-3.5-flash
obs_201496215_photo_355699582,https://inaturalist-open-data.s3.amazonaws.com/photos/355699582/medium.jpeg,An American robin standing on patchy green grass holds a long earthworm in its beak.,gemini-3.5-flash
obs_608490_photo_767186,https://inaturalist-open-data.s3.amazonaws.com/photos/767186/medium.jpg,A metallic green beetle with red legs perched on a leafy stem feeds on small yellow flowers.,gemini-3.5-flash
obs_613295_photo_773078,https://inaturalist-open-data.s3.amazonaws.com/photos/773078/medium.jpg,A reddish-brown and cream-patterned beetle perched on a green leaf feeds on small yellow flowers.,gemini-3.5-flash
obs_613368_photo_773134,https://inaturalist-open-data.s3.amazonaws.com/photos/773134/medium.jpg,A black and turquoise-striped butterfly perched on green leaves feeds on a cluster of small yellow flowers.,gemini-3.5-flash
obs_762178_photo_958265,https://inaturalist-open-data.s3.amazonaws.com/photos/958265/medium.jpg,A striped yellow and black caterpillar feeds on the edge of a long green leaf.,gemini-3.5-flash
obs_768014_photo_965261,https://inaturalist-open-data.s3.amazonaws.com/photos/965261/medium.jpg,"A close-up of a biting fly perched on hairy human skin, inserting its sharp proboscis to feed on blood.",gemini-3.5-flash
obs_768088_photo_965274,https://inaturalist-open-data.s3.amazonaws.com/photos/965274/medium.jpg,"A swarm of small black ants feeds on the body of a large, winged insect on sandy ground.",gemini-3.5-flash
obs_785661_photo_987151,https://inaturalist-open-data.s3.amazonaws.com/photos/987151/medium.jpg,"A brown jumping spider perched on a thin branch, feeding on a captured bee.",gemini-3.5-flash
obs_855273_photo_1084105,https://inaturalist-open-data.s3.amazonaws.com/photos/1084105/medium.jpg,A light brown butterfly perched on a small white flower feeds on its nectar.,gemini-3.5-flash
obs_855282_photo_1084115,https://inaturalist-open-data.s3.amazonaws.com/photos/1084115/medium.jpg,A small brown spider perched on a yellow flower feeds on a captured plume moth.,gemini-3.5-flash
obs_859795_photo_1090771,https://inaturalist-open-data.s3.amazonaws.com/photos/1090771/medium.jpg,A brown skipper butterfly perched on a yellow flower feeds on its nectar.,gemini-3.5-flash
obs_859818_photo_1090799,https://inaturalist-open-data.s3.amazonaws.com/photos/1090799/medium.jpg,"A bristly, orange-and-black fly feeds on the center of a yellow flower.",gemini-3.5-flash
obs_890705_photo_1131787,https://inaturalist-open-data.s3.amazonaws.com/photos/1131787/medium.jpg,"A large black horsefly perched on tan fabric, biting through the cloth to feed on human blood.",gemini-3.5-flash
obs_890716_photo_1131809,https://inaturalist-open-data.s3.amazonaws.com/photos/1131809/medium.jpg,A large fly with a fuzzy golden body and dark wings feeds on a person's freckled skin.,gemini-3.5-flash
obs_913990_photo_1166084,https://inaturalist-open-data.s3.amazonaws.com/photos/1166084/medium.jpg,A fuzzy bee perched on a round purple flower feeds on its nectar.,gemini-3.5-flash
obs_913998_photo_1166095,https://inaturalist-open-data.s3.amazonaws.com/photos/1166095/medium.jpg,A black and yellow striped insect perched on a round purple flower feeds on its nectar.,gemini-3.5-flash
obs_1055931_photo_1324289,https://inaturalist-open-data.s3.amazonaws.com/photos/1324289/medium.jpg,A black fly with reddish eyes feeds on the orange center of a yellow flower.,gemini-3.5-flash
obs_1068463_photo_1339369,https://inaturalist-open-data.s3.amazonaws.com/photos/1339369/medium.jpg,"A cottony cushion scale insect with a ribbed white egg sac clings to a fuzzy green stem, feeding on the plant.",gemini-3.5-flash
obs_1120591_photo_1407773,https://inaturalist-open-data.s3.amazonaws.com/photos/1407773/medium.jpg,"A black beetle with white spots clings to a green stem, feeding on small, star-shaped white flowers.",gemini-3.5-flash
obs_1133892_photo_1425797,https://inaturalist-open-data.s3.amazonaws.com/photos/1425797/medium.jpg,A red and black moth perched on a cluster of small white flowers feeds on nectar.,gemini-3.5-flash
obs_1133932_photo_1425846,https://inaturalist-open-data.s3.amazonaws.com/photos/1425846/medium.jpg,"A mottled brown weevil clings to rough tree bark, feeding on its surface.",gemini-3.5-flash
